<eps>	sil
<unk>	spn
[bracketed]	spn
[laughter]	spn
yi 	i
ding 	t ɪŋ
kao 	kʰ ɑ ʊ
qi 	tɕʰ i
shang 	ʂ ɑŋ
xia 	ɕ j a
wan 	w a n
zhang 	ʈʂ ɑŋ
san 	s a n
ji 	tɕ i
bu 	p u
yu 	y
mian 	m j ɛ n
gai 	k a ɪ
chou 	ʈʂʰ o ʊ
zhuan 	ʈʂ w a n
qie 	tɕʰ j ɛ
pi 	pʰ i
shi 	ʂ ɚ
qiu 	tɕʰ j o ʊ
bing 	p ɪŋ
ye 	j ɛ
cong 	tsʰ ʊŋ
dong 	t ʊŋ
si 	s ɯ
cheng 	ʈʂʰ ɤŋ
liang 	l j ɑŋ
diu 	t j o ʊ
you 	j o ʊ
yan 	j ɛ n
sang 	s ɑŋ
gun 	k u ə n
jiu 	tɕ j o ʊ
ge 	k ɤ
ya 	j a
qiang 	tɕʰ j ɑŋ
zhong 	ʈʂ ʊŋ
jie 	tɕ j ɛ
feng 	f ɤŋ
guan 	k w a n
chuan 	ʈʂʰ w a n
chan 	ʈʂʰ a n
lin 	l ɪ n
zhuo 	ʈʂ u ɔ
zhu 	ʈʂ u
dan 	t a n
wei 	w e ɪ
jing 	tɕ ɪŋ
li 	l i
ju 	tɕ y
pie 	pʰ j ɛ
fu 	f u
nai 	n a ɪ
tuo 	ʈʂ ɤ
me 	j ɑ ʊ
zhi 	ʈʂ ɚ
wu 	u
zha 	ʈʂ a
hu 	x u
fa 	f a
le 	l ɤ
yin 	ʈʂ ʊŋ
ping 	pʰ ɪŋ
pang 	pʰ ɑŋ
qiao 	tɕʰ j ɑ ʊ
guai 	k u a ɪ
mie 	m j ɛ
xi 	ɕ i
xiang 	ɕ j ɑŋ
shu 	ʂ u
nang 	n ɑŋ
jia 	tɕ j a
mai 	m a ɪ
luan 	l w a n
ru 	ʐ u
xue 	ɕ ɥ œ
sha 	ʂ a
na 	n a
gan 	k a n
qian 	k a n
gui 	k w e ɪ
jue 	tɕ ɥ œ
zheng 	ʈʂ ɤŋ
er 	a ɻ
chu 	ʈʂʰ u
kui 	y
yun 	y n
sui 	s w e ɪ
gen 	k ə n
xie 	ɕ j ɛ
tou 	tʰ o ʊ
wang 	w ɑŋ
kang 	kʰ ɑŋ
da 	tʰ a
jiao 	tɕ j ɑ ʊ
hai 	x a ɪ
heng 	x ɤŋ
mu 	m u
ting 	tʰ ɪŋ
qin 	tɕʰ ɪ n
bo 	p ɔ
lian 	l j ɛ n
duo 	t u ɔ
ren 	ʐ ə n
shen 	ʂ ɚ
ze 	t s ɤ
jin 	tɕ ɪ n
pu 	pʰ u
ba 	p a
reng 	ʐ ɤŋ
fo 	f ɔ
lun 	l u ə n
cang 	tsʰ ɑŋ
zai 	t s ɯ
ta 	tʰ a
xian 	ɕ j ɛ n
hong 	x ʊŋ
tong 	tʰ ʊŋ
dai 	t a ɪ
ling 	l ɪŋ
chao 	ʈʂʰ ɑ ʊ
chang 	ʈʂʰ ɑŋ
sa 	s a
men 	m ə n
fan 	tɕ j a
yang 	j ɑŋ
wo 	w a n
jian 	tɕ j ɛ n
yao 	j ɑ ʊ
fen 	f ə n
di 	t i
fang 	f ɑŋ
pei 	pʰ e ɪ
diao 	t j ɑ ʊ
dun 	t u ə n
xin 	ɕ ɪ n
ai 	a ɪ
xiu 	ɕ j o ʊ
tang 	tʰ ɑŋ
huo 	x u ɔ
hui 	x w e ɪ
cui 	tsʰ w e ɪ
che 	ʈʂʰ ɤ
xun 	ɕ y n
nu 	n u
gu 	k u
ni 	n i
ban 	p a n
xu 	ɕ y
zhou 	ʈʂ o ʊ
qu 	tɕʰ y
ci 	s ɯ
beng 	p ɤŋ
ga 	tɕʰ j ɛ
dian 	t j ɛ n
han 	x a n
bi 	p i
zhao 	ʂ ɑ ʊ
zuo 	t s u ɔ
ti 	tʰ i
he 	x ɤ
she 	ʂ ɤ
gou 	kʰ o ʊ
ning 	n ɪŋ
yong 	j ʊŋ
wa 	w a
ka 	kʰ a
lao 	l ɑ ʊ
bai 	p a ɪ
ming 	m ɪŋ
hen 	x ə n
quan 	tɕʰ ɥ œ n
tiao 	tʰ j ɑ ʊ
xing 	ɕ ɪŋ
kan 	kʰ a n
chi 	ʈʂʰ ɚ
kua 	kʰ w a
guang 	k w ɑŋ
mi 	m i
an 	a n
lu 	l u
mou 	m o ʊ
cha 	ʈʂʰ a
gong 	k ʊŋ
cun 	tɕ j ɛ n
lv 	l y
zhen 	ʈʂ ə n
ce 	tsʰ ɤ
kuai 	kʰ u a ɪ
chai 	ʈʂʰ a ɪ
nong 	n ʊŋ
hou 	x o ʊ
jiong 	tɕ j ʊŋ
tui 	tʰ u ɔ
nan 	n a n
xiao 	x ɑ ʊ
bian 	p j ɛ n
cu 	tsʰ u
e 	ɤ
ku 	kʰ u
jun 	tɕ y n
zu 	t s u
hun 	x u ə n
su 	s u
bao 	p ɑ ʊ
lia 	l j a
lai 	l a ɪ
pai 	pʰ a ɪ
biao 	p j ɑ ʊ
fei 	f e ɪ
bei 	p e ɪ
zong 	t s ʊŋ
tian 	tʰ j ɛ n
dao 	t ɑ ʊ
tan 	tʰ a n
chui 	ʈʂʰ w e ɪ
peng 	pʰ ɤŋ
kong 	kʰ ʊŋ
juan 	tɕ ɥ œ n
luo 	l u ɔ
song 	s ʊŋ
leng 	l ɤŋ
zi 	t s ɯ
ben 	p ə n
cai 	tsʰ a ɪ
zhai 	ʈʂ a ɪ
qing 	tɕʰ ɪŋ
ying 	ɪŋ
ruan 	n w a n
chun 	ʈʂʰ u ə n
ruo 	ʐ u ɔ
pian 	pʰ j ɛ n
sheng 	ʂ ɤŋ
huang 	x w ɑŋ
zhan 	ʈʂ a n
duan 	t w a n
ou 	o ʊ
za 	t s a
lou 	l y
sou 	s o ʊ
yuan 	ɥ œ n
rong 	ʐ ʊŋ
jiang 	k o ʊ
ma 	m a
bang 	p ɑŋ
hao 	x ɑ ʊ
shan 	ʂ a n
suo 	s u ɔ
bin 	p ɪ n
nuo 	n u ɔ
can 	tsʰ a n
lei 	l e ɪ
zao 	t s ɑ ʊ
ao 	ɑ ʊ
chuang 	tɕʰ j ɑŋ
