<eps>	sil
<unk>	spn
[bracketed]	spn
[laughter]	spn
a	a
abdaha	a p t ɤ k ɤ
abka	a p kʰ ɤ
abkai	a p kʰ ɤ
abome	ɔ v u m
absi	æ z i
acabume	a ʂ p u m
acahakv	a ʈʂʰ ɤ ɢ ɯ
acambi	a tʃ ɤ m i e
acanarakv	a ʂ n a ɢ ɯ
adali	m æ t ɤ l i
adarame	a t a ɾ a m ɤ
adu	a t u
aga	a k ɤ
agame	a k ɤ m
age	a k ɤ
ai	a i
aiba	æ p a
aibide	j a p ɤ t ɤ
aifini	æ v a n t ɤ
ainahabi	æ n ɤ ʁ p i
ainambi	a i a ɾ a m i e
ainambini	a i n ɤ m p i n i
ainara	æ n a ɾ
ainci	æ n tɕʰ i
ainu	a n ɤ
aise	æ z ɤ
aisilara	æ z i l ɤ
aituha	æ tʰ i ʁ ɤ
ajige	æ tɕ i
akjaha	a kʰ ʐ u ʁ ɤ
akjan	a kʰ ʐ u
akv	ɔ ɢ ɯ
alambi	a l ɤ m p i
alara	a l a ɾ ɤ
alha	j i l ʁ a
alime	æ l i m
alin	æ l i n
ama	a m a
amagam	a m ɤ tɕʰ ɤ n ɤ
amagambi	a m ɤ tɕʰ ɤ n a m i e
amala	a m ɤ l ɤ
amargi	a m ɤ ɾ k i
amargi	a m a ɾ k i
amasi	a m ɤ ʂ
amba	a m p a
ambakan	a m p a kʰ
amgaki	a m k ɤ kʰ i
amgambi	a m k ɤ m i e
amgara	a m tɕʰ ɤ ɾ ɤ
amji	a m tɕ i
amuran	a m u ɾ a n
an	a n
anenygi	v e i n iŋ
anggala	aŋ ŋ ɤ l ɤ
aniya	æ n i
aniyadari	æ n i t i e ɾ i e
aniyade	æ n i t e
antaha	a n tʰ ɤ ʁ
antaharara	m a ŋ z ɤ ɾ ɤ
ara	a ɾ a
araci	a ɾ a tɕʰ i
arahangge	a ɾ a ʁ n iŋ ɤ
arambi	a ɾ a m i e
arame	a ɾ ɤ m ɤ
arara	a ɾ a ɾ
arki	a ɾ kʰ ɤ
arsuka	a ʂ t u ʁ ɤ
arsun	a ʂ t u n
asihan	a ʂ k a n
axxame	a ʂ ɤ m ɤ
aya	a ɾ a
bade	p a t ɤ
baha	p a ʁ a
bahabi	p a x a p i
bahafi	p a ʁ ɤ p e
bahambio	p a ʁ ɤ m n o
bahame	p a ʁ ɤ m
bahanambi	p a ʁ ɤ n ɤ m i e
bahanambio	p a ʁ ɤ m n o
bahanarakv	p æ p u ɢ ɯ
baiburakv	p æ p u ɢ ɯ
baicame	p æ tʃ a m
baili	p a i l i
baita	p a i tʰ ɤ
baitakv	p æ tʰ ɤ ɢ ɯ
baitalame	p æ t ɤ l ɤ m ɤ
baitalarangge	p æ t ɤ l ɤ n iŋ ŋ ɤ
baniha	p a n i x a
banjiha	p a n tɕ i x
banjihangge	p a n tɕ i x n iŋ ŋ ɤ
bargiyaki	p æ ɾ k i kʰ i
bargiyara	p æ ɾ k i ɾ i e
baturu	p a t u ɾ u
be	p ɤ
bederebume	p ɤ t ɤ ɾ p u m
bedereki	p ɤ t ɤ ɾ ɤ kʰ i
bederembio	p ɤ t ɤ ɾ ɤ m n o
bedereme	p ɤ t ɤ ɾ ɤ m
beki	p ɤ kʰ i
bele	p ɤ l ɤ
belgeme	p ɤ l ɢ ɤ m
belheme	p ɤ l ʁ ɤ m
benehe	p ɤ n ɤ k ɤ
bengsen	p ɤ n s
besergen	p ɤ s ɤ ɾ k ɤ n
bethe	p ɤ tʰ k ɤ
beye	p ɤ j i
bi	p i
biha	p i a
bihe	p i x ɤ
bihede	p i x ɤ t ɤ
bihengge	p i x ɤ n iŋ ŋ ɤ
bimbi	p i m i e
bio	p i n o
birai	p i ɾ a
bisire	p i ç i ɾ
bithe	p i tʰ kʰ ɤ
biya	p i j a
biyai	p i a
biyai	p i j a
boco	p o k
boconggo	p o tʃ oŋ ŋ ɤ
bolgo	p o l k o
bolori	p o l o ɾ i
boo	p o
booci	p o tɕʰ i
boode	p o t ɤ
booha	p o x a
booi	p ɔ i
booningge	p ɔ n iŋ
boso	p o z o
buci	p u tɕʰ i
buda	p u t a
budai	p u t a
bufi	p u e
bujiki	p u ʐ u kʰ i
buki	p u kʰ i
buleku	p u l ɤ kʰ u
cai	ʈʂʰ æ
calabumbi	tʃ a l ɤ p u m i e
calaburakv	tʃ a l ɤ p u ɢ ɯ
cargi	ʈʂʰ a ɾ k i
ci	tɕʰ i
cicigar	tɕʰ i tɕʰ i tɕʰ a ɾ
cihai	tɕʰ i a i
cihalambi	tɕʰ i ʁ a l ɤ m i e
cihalambio	tɕʰ i ʁ a l ɤ m i e
cihalarakv	tɕʰ i ʁ a l a ɢ ɯ
cimari	ʈʂʰ ɯ m a tɕʰ ɤ
cirku	tɕʰ i ɾ kʰ u
coko	tʃ u k ɤ
colaci	ʈʂʰ ɔ l ɤ tɕʰ i
coro	ʈʂʰ ɔ ɾ o
dabala	t a p a l ɤ
dabali	t a p a l ɤ
daci	t a tɕʰ i
daha	t a ʁ ɤ
dahangge	t a x n iŋ ŋ ɤ
daifu	t æ f u
daifuran	t æ f u ɾ a n
dambaku	t a m k ɤ
damu	t a m u
daruhai	t a ɾ u x æ
dasabume	t a s p u m
dasatame	t a tɕ ɤ m
de	t ɤ
debtelin	t ɤ p tʰ ɤ n
dedure	t u t u ɾ ɤ
den	t ɤ n
dere	t ɤ ɾ ɤ
derei	t ɤ ɾ e
deretu	t ɤ ɾ ɤ tʰ u
dergi	tɕ i ɾ k i
deri	t e ɾ e
deribuhe	t ɤ ɾ p u ʁ ɤ
deribume	t ɤ ɾ p u m ɤ
diyanxi	t i a n ʂ ɤ
dobori	t ɔ p ɔ ɾ i
dolo	t o l o
donjifi	t o n tɕ i p i e
donjihade	t o n tɕ i x t ɤ
donjihade	t u n tɕ i x a t ɤ
donjihade	t u n tɕ i x ɤ t ɤ
donjime	t u n tɕ i m ɤ
donjirede	t u n tɕ i ɾ ɤ t ɤ
dorgide	t ɔ ɾ k i t ɤ
dorio	t o ɾ o
dosi	t ɔ z ɔ
dosibume	t o z ɤ p u m
dosifi	t o s ɤ p i e
dosika	t ɔ s o k a
dosiki	t ɔ z ɔ kʰ i
